experiment,level,system,precision,recall,f1
sensor_noise,0.1,centralized,0.9055944055944056,0.8222222222222222,0.8618968386023295
sensor_noise,0.2,centralized,0.915057915057915,0.7523809523809524,0.8257839721254355
sensor_noise,0.3,centralized,0.9299610894941635,0.7587301587301587,0.8356643356643356
missing_values,0.05,centralized,0.8791946308724832,0.8317460317460318,0.8548123980424144
missing_values,0.1,centralized,0.8932384341637011,0.7968253968253968,0.8422818791946308
missing_values,0.2,centralized,0.8968253968253969,0.7174603174603175,0.7971781305114638
sensor_failure,0.1,centralized,0.867741935483871,0.8539682539682539,0.8608
sensor_failure,0.2,centralized,0.9051094890510949,0.7873015873015873,0.8421052631578947
sensor_failure,0.3,centralized,0.9761904761904762,0.5206349206349207,0.6790890269151139
node_dropout,0.1,centralized,0.9727272727272728,0.3396825396825397,0.5035294117647059
node_dropout,0.2,centralized,1.0,0.03492063492063492,0.06748466257668712
node_dropout,0.3,centralized,0.0,0.0,0.0
